Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
01/27/2017,N (Jul 17),17.60,17.75,17.55,17.65,17.6750,0.05,2552,0,19650
01/30/2017,N (Jul 17),17.80,18.14,17.70,17.70,17.7250,0.05,3786,0,20058
01/31/2017,N (Jul 17),17.70,17.92,17.60,17.60,17.6250,-0.10,1903,0,20391
02/01/2017,N (Jul 17),17.60,17.65,17.35,17.45,17.4250,-0.20,2998,0,20582
02/02/2017,N (Jul 17),17.45,17.65,17.40,17.55,17.5750,0.15,2198,0,20435
02/03/2017,N (Jul 17),17.60,17.65,17.29,17.40,17.3750,-0.20,2751,0,20840
02/06/2017,N (Jul 17),17.40,17.45,17.25,17.43,17.4250,0.05,2265,0,21144
02/07/2017,N (Jul 17),17.43,17.53,17.32,17.45,17.4750,0.05,4647,0,22624
02/08/2017,N (Jul 17),17.45,17.66,17.45,17.60,17.5750,0.10,5263,0,23709
02/09/2017,N (Jul 17),17.61,17.61,17.35,17.40,17.3750,-0.20,4254,0,25073
02/10/2017,N (Jul 17),17.36,17.40,17.27,17.38,17.3750,0.00,4278,0,26268
02/13/2017,N (Jul 17),17.37,17.37,17.10,17.10,17.1250,-0.25,3400,0,26839
02/14/2017,N (Jul 17),17.10,17.15,16.55,16.55,16.5250,-0.60,5521,0,27143
02/15/2017,N (Jul 17),16.54,16.68,16.25,16.25,16.2500,-0.28,14086,0,28487
02/16/2017,N (Jul 17),16.25,16.85,16.23,16.46,16.4250,0.18,8529,0,27984
02/17/2017,N (Jul 17),16.40,16.69,16.38,16.52,16.5250,0.10,2656,0,28242
02/21/2017,N (Jul 17),16.55,16.69,16.37,16.65,16.6750,0.15,4143,0,28665
02/22/2017,N (Jul 17),16.69,16.90,16.60,16.75,16.7750,0.10,4175,0,29570
02/23/2017,N (Jul 17),16.80,17.20,16.75,17.14,17.1250,0.35,9028,0,30980
02/24/2017,N (Jul 17),17.15,17.60,17.14,17.30,17.2750,0.15,8918,0,32768
02/27/2017,N (Jul 17),17.25,17.25,16.80,16.95,16.9250,-0.35,4053,0,33943
02/28/2017,N (Jul 17),16.93,17.18,16.89,17.01,17.0250,0.10,6170,0,33523
03/01/2017,N (Jul 17),17.00,17.03,16.65,16.95,16.9250,-0.10,4479,0,33461
03/02/2017,N (Jul 17),16.90,17.10,16.88,17.05,17.0250,0.10,6582,0,33148
03/03/2017,N (Jul 17),17.00,17.08,16.65,16.71,16.7250,-0.30,4552,0,33770
03/06/2017,N (Jul 17),16.70,16.84,16.55,16.65,16.6250,-0.10,4523,0,33367
03/07/2017,N (Jul 17),16.64,16.67,16.45,16.65,16.6250,0.00,3664,0,33187
03/08/2017,N (Jul 17),16.65,16.80,16.35,16.60,16.6250,0.00,5432,0,33560
03/09/2017,N (Jul 17),16.65,16.76,16.40,16.55,16.5750,-0.05,4558,0,33621
03/10/2017,N (Jul 17),16.55,16.62,16.38,16.40,16.4250,-0.15,3285,0,34079
03/13/2017,N (Jul 17),16.43,16.53,16.30,16.35,16.3250,-0.10,2969,0,33802
03/14/2017,N (Jul 17),16.35,16.58,16.28,16.50,16.4750,0.15,6602,0,33484
03/15/2017,N (Jul 17),16.50,16.50,16.20,16.26,16.2750,-0.20,5219,0,33794
03/16/2017,N (Jul 17),16.23,16.30,15.95,16.01,16.0250,-0.25,4402,0,33940
